sheet,id,class,subclass,variable,calculated
sheet2,malu_iiindustry_env,MANAGED NON_CONVENTIONAL,Indoor industry,environment,FALSE
sheet2,malu_livestock_env,MANAGED NON_CONVENTIONAL,Livestock and husbandry,environment,FALSE
sheet2,malu_others2_env,MANAGED NON_CONVENTIONAL,Others,environment,FALSE
sheet2,malu_powerandenergy_env,MANAGED NON_CONVENTIONAL,Power and energy,environment,FALSE
sheet2,molu_forest_env,MODIFIED,Forest plantations,environment,FALSE
sheet2,molu_others_env,MODIFIED,Others,environment,FALSE
sheet2,molu_rainfed_env,MODIFIED,Rainfed crops,environment,FALSE
sheet2,molu_settlements_env,MODIFIED,Settlements,environment,FALSE
sheet2,plu_forest_env,PROTECTED,Forest,environment,FALSE
sheet2,plu_glaciers_env,PROTECTED,Glaciers,environment,FALSE
sheet2,plu_grasslands_env,PROTECTED,Natural grasslands,environment,FALSE
sheet2,plu_waterbodies_env,PROTECTED,Natural water bodies,environment,FALSE
sheet2,plu_others_env,PROTECTED,Others,environment,FALSE
sheet2,plu_shrubland_env,PROTECTED,Shrubland,environment,FALSE
sheet2,plu_wetlands_env,PROTECTED,Wetlands,environment,FALSE
sheet2,ulu_forest_env,UTILIZED,Forest,environment,FALSE
sheet2,ulu_grasslands_env,UTILIZED,Natural grasslands,environment,FALSE
sheet2,ulu_waterbodies_env,UTILIZED,Natural water bodies,environment,FALSE
sheet2,ulu_others_env,UTILIZED,Others,environment,FALSE
sheet2,ulu_shrubland_env,UTILIZED,Shrubland,environment,FALSE
sheet2,ulu_wetlands_env,UTILIZED,Wetlands,environment,FALSE
sheet2,malu_industry_i,MANAGED CONVENTIONAL,Industry,interception,FALSE
sheet2,malu_crops_i,MANAGED CONVENTIONAL,Irrigated crops,interception,FALSE
sheet2,malu_waterbodies_i,MANAGED CONVENTIONAL,Managed water bodies,interception,FALSE
sheet2,malu_others1_i,MANAGED CONVENTIONAL,Others,interception,FALSE
sheet2,malu_residential_i,MANAGED CONVENTIONAL,Residential,interception,FALSE
sheet2,malu_greenhouses_i,MANAGED NON_CONVENTIONAL,Greenhouses,interception,FALSE
sheet2,malu_idomestic_i,MANAGED NON_CONVENTIONAL,Indoor domestic,interception,FALSE
sheet2,malu_iiindustry_i,MANAGED NON_CONVENTIONAL,Indoor industry,interception,FALSE
sheet2,malu_livestock_i,MANAGED NON_CONVENTIONAL,Livestock and husbandry,interception,FALSE
sheet2,malu_others2_i,MANAGED NON_CONVENTIONAL,Others,interception,FALSE
sheet2,malu_powerandenergy_i,MANAGED NON_CONVENTIONAL,Power and energy,interception,FALSE
