CLASS,SUBCLASS,VARIABLE,VALUE,iso3,sheet,year
OUTFLOW,SURFACE WATER,Utilized surface water,0,ken,sheet1,2006
OUTFLOW,SURFACE WATER,Flood,0,ken,sheet1,2006
OUTFLOW,SURFACE WATER,Interbasin transfer,0,ken,sheet1,2006
OUTFLOW,GROUNDWATER,Natural,0,ken,sheet1,2006
OUTFLOW,GROUNDWATER,Utilized,0,ken,sheet1,2006
OUTFLOW,OTHER,Non-utilizable,0,ken,sheet1,2006
OUTFLOW,OTHER,Other,0,ken,sheet1,2006
OUTFLOW,RESERVED,Commited,0.656513960189349,ken,sheet1,2006
OUTFLOW,RESERVED,Navigational,0,ken,sheet1,2006
OUTFLOW,RESERVED,Environmental,0,ken,sheet1,2006
INFLOW,PRECIPITATION,Rainfall,13.8050491015361,ken,sheet1,2007
INFLOW,PRECIPITATION,Snowfall,0,ken,sheet1,2007
INFLOW,PRECIPITATION,Precipitation recycling,0,ken,sheet1,2007
INFLOW,SURFACE WATER,Main riverstem,0,ken,sheet1,2007
INFLOW,SURFACE WATER,Tributaries,0,ken,sheet1,2007
INFLOW,SURFACE WATER,Utilized surface water,0,ken,sheet1,2007
INFLOW,SURFACE WATER,Flood,0,ken,sheet1,2007
INFLOW,GROUNDWATER,Natural,0,ken,sheet1,2007
INFLOW,GROUNDWATER,Utilized,0,ken,sheet1,2007
INFLOW,OTHER,Desalinized,0,ken,sheet1,2007
STORAGE,CHANGE,Surface storage,2.44838537733571,ken,sheet1,2007
STORAGE,CHANGE,Storage in sinks,0,ken,sheet1,2007
OUTFLOW,ET LANDSCAPE,Protected,2.2312072482637,ken,sheet1,2007
OUTFLOW,ET LANDSCAPE,Utilized,3.70419534100311,ken,sheet1,2007
OUTFLOW,ET LANDSCAPE,Modified,3.9294320778388,ken,sheet1,2007
OUTFLOW,ET LANDSCAPE,Managed,0.12483200333307,ken,sheet1,2007
OUTFLOW,ET UTILIZED FLOW,Protected,0.0816394122679262,ken,sheet1,2007
OUTFLOW,ET UTILIZED FLOW,Utilized,0.987530962628676,ken,sheet1,2007
OUTFLOW,ET UTILIZED FLOW,Modified,0.150855133790195,ken,sheet1,2007
OUTFLOW,ET UTILIZED FLOW,Managed,1.97323601920076,ken,sheet1,2007
OUTFLOW,ET INCREMENTAL,Manmade,0.00592118674631662,ken,sheet1,2007
OUTFLOW,ET INCREMENTAL,Natural,1.2200255086868,ken,sheet1,2007
OUTFLOW,SURFACE WATER,Main riverstem,5.037821113,ken,sheet1,2007
OUTFLOW,SURFACE WATER,Tributaries,0,ken,sheet1,2007
OUTFLOW,SURFACE WATER,Utilized surface water,0,ken,sheet1,2007
OUTFLOW,SURFACE WATER,Flood,0,ken,sheet1,2007
OUTFLOW,SURFACE WATER,Interbasin transfer,0,ken,sheet1,2007
OUTFLOW,GROUNDWATER,Natural,0,ken,sheet1,2007
OUTFLOW,GROUNDWATER,Utilized,0,ken,sheet1,2007
OUTFLOW,OTHER,Non-utilizable,0,ken,sheet1,2007
OUTFLOW,OTHER,Other,0,ken,sheet1,2007
OUTFLOW,RESERVED,Commited,0.664054025303916,ken,sheet1,2007
OUTFLOW,RESERVED,Navigational,0,ken,sheet1,2007
